gene	esophagus1	esophagus2	esophagus3	esophagus4	sigmoid_colon1	sigmoid_colon2	sigmoid_colon3	sigmoid_colon4
ENSG00000226545.1	0	0	0	0	0	0	0	0
ENSG00000228423.2	8	0	49	29	41	23	19	10
ENSG00000229716.2	0	0	0	0	0	0	0	0
ENSG00000074800.13	25030	31853	18028	40010	2051	4387	4945	4416
ENSG00000274258.1	2	0	3	8	0	0	1	0
ENSG00000236269.1	52	43	97	97	7	13	45	2
ENSG00000230679.1	0	0	2	3	0	0	0	0
ENSG00000201725.1	0	0	0	0	0	0	0	0
ENSG00000238249.2	0	1	1	0	0	0	0	0
ENSG00000232208.2	0	0	0	0	0	0	0	0
ENSG00000232663.2	0	0	0	0	0	0	0	0
ENSG00000131686.14	0	0	0	0	0	0	0	0
ENSG00000265141.2	0	0	0	0	0	0	0	0
ENSG00000197241.3	0	0	7	0	4	0	0	0
ENSG00000142583.17	121	179	265	97	77	139	315	129
ENSG00000252404.1	0	0	0	0	0	0	0	0
ENSG00000180758.11	4324	2432	1846	2813	86	102	84	92
ENSG00000228526.5	29	139	184	273	67	65	43	38
ENSG00000234546.3	7	27	36	36	8	7	3	6
ENSG00000281937.1	0	0	0	1	0	0	1	0
ENSG00000049239.12	2575	2771	4198	1739	1631	2161	2520	2353
ENSG00000171621.13	1028	1173	1210	792	633	625	919	574
ENSG00000252956.1	0	0	0	0	0	0	0	0
ENSG00000235263.1	0	0	0	0	0	0	0	0
ENSG00000171612.6	283	239	400	455	113	486	270	443
ENSG00000231181.1	6	11	14	2	7	8	11	1
ENSG00000188807.12	450	261	477	530	124	137	216	145
ENSG00000171608.15	470	628	913	435	250	546	473	341
ENSG00000179840.5	0	0	0	0	0	0	0	0
ENSG00000233268.3	0	0	0	0	0	0	0	0
ENSG00000231789.2	5	30	24	12	12	16	3	15
ENSG00000171603.16	3675	4163	3216	4104	1639	1512	1752	1540
ENSG00000271264.1	0	0	0	0	0	0	0	0
ENSG00000280113.1	15	0	0	2	0	0	0	0
ENSG00000178585.14	3633	2766	2289	2627	202	288	467	478
ENSG00000223989.1	0	0	0	0	0	0	0	0
ENSG00000162441.11	436	592	627	613	240	510	485	589
ENSG00000228150.1	0	0	9	8	0	0	0	2
ENSG00000173614.13	144	253	160	175	105	110	121	161
ENSG00000202415.1	2	0	9	4	0	0	2	3
ENSG00000283611.1	0	0	0	0	0	15	0	0
ENSG00000265521.1	0	0	1	5	3	0	0	0
ENSG00000241326.1	0	0	0	0	0	0	0	0
ENSG00000162444.11	118	169	105	57	25	53	13	33
ENSG00000130939.18	2704	2566	3044	3175	2695	2859	2387	2272
ENSG00000224340.1	0	0	0	0	0	0	0	0
ENSG00000233623.2	13	0	27	32	15	6	10	11
ENSG00000201746.1	0	0	8	6	5	14	0	3
ENSG00000054523.17	4104	3578	4012	5682	3194	4174	4263	4085
ENSG00000264881.1	0	0	1	6	0	0	0	0
ENSG00000199562.1	11	0	19	21	18	14	16	11
ENSG00000264501.2	0	0	0	0	0	0	0	0
ENSG00000142657.20	22772	17678	7936	16509	337	539	547	663
ENSG00000271989.1	0	0	0	1	0	0	0	0
ENSG00000251503.8	0	0	0	0	0	6	0	0
ENSG00000175279.21	0	0	4	8	1	5	0	0
ENSG00000241563.3	0	0	3	0	1	0	13	1
ENSG00000160049.11	964	1766	1579	1650	591	1092	1064	972
ENSG00000203469.2	5	8	0	1	0	4	0	0
ENSG00000142655.12	382	463	551	382	222	279	303	289
ENSG00000243267.3	0	11	14	5	5	0	4	0
ENSG00000130940.14	2888	1361	1825	2205	1688	1042	1882	1857
ENSG00000272078.1	0	0	1	0	1	0	4	0
ENSG00000225158.2	0	0	0	0	0	0	0	0
ENSG00000175262.14	0	0	4	0	0	1	0	0
ENSG00000215785.2	0	0	0	0	0	0	0	0
ENSG00000120948.15	488	178	625	884	543	481	455	614
ENSG00000277726.4	0	0	0	0	0	0	0	0
ENSG00000009724.16	0	0	3	0	0	0	0	0
ENSG00000271895.2	0	12	41	20	13	29	12	18
ENSG00000116649.9	476	304	601	1284	161	286	317	288
ENSG00000171824.13	1118	1359	1834	1804	798	1139	1126	902
ENSG00000226849.1	2	0	10	4	11	5	19	5
ENSG00000230337.1	0	14	0	3	2	0	0	5
ENSG00000198793.12	2828	2870	3252	4355	1474	2039	2635	1800
ENSG00000225602.5	0	0	0	0	0	0	0	0
ENSG00000253086.1	0	0	0	0	0	0	0	0
ENSG00000171819.4	1	38	32	0	32	75	25	120
ENSG00000207451.1	0	0	0	0	0	0	0	0
ENSG00000238173.1	0	0	0	0	0	0	0	0
ENSG00000120942.13	192	334	534	267	149	272	284	233
ENSG00000238199.1	0	0	0	0	0	0	0	0
ENSG00000224338.2	0	0	0	0	0	0	0	0
ENSG00000204624.7	0	12	1	0	13	4	8	0
ENSG00000235643.1	0	0	0	0	0	0	0	0
ENSG00000116661.9	49	254	146	205	30	121	45	65
ENSG00000132879.13	122	105	463	191	220	345	166	221
ENSG00000116663.10	209	375	232	243	112	135	172	139
ENSG00000116670.14	139	310	268	248	150	547	442	272
ENSG00000162490.6	3	0	0	0	13	0	0	35
ENSG00000177674.15	471	1098	407	798	161	494	193	247
ENSG00000215910.7	13	28	5	13	9	4	34	1
ENSG00000177553.6	0	0	0	0	0	0	0	0
ENSG00000177000.10	1464	1127	1661	1747	595	998	1950	694
ENSG00000011021.21	338	358	876	865	631	857	827	699
ENSG00000242349.5	2	0	6	6	13	8	0	0
ENSG00000276470.1	0	0	0	0	0	0	0	0
ENSG00000278852.1	0	0	0	0	0	0	0	0
ENSG00000175206.10	0	0	0	0	0	0	0	0
ENSG00000275915.1	0	0	0	0	0	0	0	0
ENSG00000120937.8	0	0	0	0	0	2	0	0
ENSG00000224904.1	0	0	0	0	0	0	0	1
ENSG00000199347.1	51	46	262	100	193	422	78	133
ENSG00000201801.1	3	14	8	10	2	4	0	13
ENSG00000116685.15	1575	1491	1313	1683	949	1043	1467	1326
ENSG00000083444.16	752	850	675	1003	860	837	849	1080
ENSG00000116688.16	3387	4727	5249	5916	2112	3687	5442	4389
ENSG00000270914.1	0	0	0	0	0	0	0	0
ENSG00000116691.10	374	258	394	325	211	341	390	336
ENSG00000202461.1	0	0	0	0	0	0	0	0
ENSG00000276869.1	0	0	0	0	0	0	0	0
ENSG00000243539.3	0	0	0	0	0	0	0	0
ENSG00000120949.14	1	39	24	9	15	19	15	12
ENSG00000201135.1	0	0	0	0	0	0	0	0
ENSG00000227875.2	0	0	0	0	0	0	0	0
ENSG00000028137.17	120	848	930	314	330	731	756	840
ENSG00000263676.1	0	0	0	0	0	0	0	0
ENSG00000225196.2	0	0	0	0	0	0	5	0
ENSG00000252969.1	0	0	0	0	0	0	0	0
